Time,xPos,yPos,zPos,u,w,q,theta,Elevator Angle
0,-8.196816329,-0.086445142,1.497070468,-0.036183953,-0.000567613,-0.021332486,-0.004091972,-0.210023762
0.008142948,-8.19657497,-0.086230514,1.496812987,-0.0353502,0.000946477,-0.007206982,-0.00415203,-0.136102001
0.016768932,-8.196339285,-0.086076934,1.496589724,-0.034952255,-0.006588359,-0.046500902,-0.004539537,-0.385819784
0.024758101,-8.196117651,-0.085911199,1.496344214,-0.031875171,-0.005165883,-0.038656712,-0.004861676,-0.374050274
0.03301096,-8.195893986,-0.085779986,1.496122642,-0.029295652,0.004831951,-0.012670713,-0.004967266,-0.24554241
0.041535139,-8.195660959,-0.085652029,1.495868667,-0.033259542,-0.007417888,-0.072415414,-0.005570728,-0.605481805
0.049678087,-8.195396396,-0.085514164,1.495602371,-0.029554965,0.005496515,-0.02092839,-0.005745131,-0.33952428
0.058284044,-8.195126487,-0.085360727,1.495349485,-0.029801045,-0.006899591,-0.075614276,-0.00637525,-0.688163999
0.066226959,-8.194826109,-0.085216912,1.495092362,-0.027669011,-0.009249619,-0.074548748,-0.006996489,-0.727923146
0.074820995,-8.194538983,-0.085054101,1.494848981,-0.030395434,-0.004544991,-0.079039043,-0.007655148,-0.78368205
0.08356905,-8.194213954,-0.084928219,1.494619076,-0.029823413,-0.015823,-0.127353602,-0.008716428,-1.125523899
0.091400146,-8.193867411,-0.084868926,1.494418401,-0.032384242,-0.004154458,-0.070786727,-0.009306317,-0.826868009
0.099424124,-8.193528837,-0.084842516,1.494222401,-0.034028097,-0.00679403,-0.069097622,-0.009882131,-0.843397968
0.107934952,-8.193182226,-0.084868814,1.494084743,-0.033169864,-0.004936898,-0.052407234,-0.010318858,-0.77760255
0.116202116,-8.19284094,-0.08493698,1.493933632,-0.035757528,-0.005422278,-0.05900265,-0.010810547,-0.83384262
0.124753952,-8.19251676,-0.085017842,1.493791218,-0.039471158,-0.005468463,-0.057622095,-0.011290731,-0.838338731
0.132884979,-8.19220484,-0.085188956,1.49368331,-0.040184451,-0.004538634,-0.040547604,-0.011628627,-0.756976494
0.141734123,-8.191889146,-0.08539653,1.493606262,-0.041769015,-0.003154816,-0.021562153,-0.011808312,-0.651316077
0.149754047,-8.191612272,-0.085638725,1.493512212,-0.040788862,-0.002154349,-0.018147026,-0.011959537,-0.645426217
0.158017159,-8.191380508,-0.085905819,1.493410369,-0.04206812,-0.000107241,0.0011622,-0.011949852,-0.528098479
0.166384935,-8.191149796,-0.086180255,1.493325798,-0.046293626,0.000260673,0.020793888,-0.01177657,-0.385227298
0.174790144,-8.190926748,-0.086479019,1.493280882,-0.047938833,0.003116128,0.034607363,-0.011488175,-0.281668454
0.183197021,-8.190733463,-0.086764349,1.493196343,-0.046622039,0.003759858,0.021706814,-0.011307285,-0.351669225
0.191291094,-8.19054794,-0.087071694,1.493145598,-0.046117142,0.006045671,0.038501204,-0.010986442,-0.238154043
0.199630022,-8.190316518,-0.087467598,1.493048784,-0.0468021,0.00723028,0.034442128,-0.010699424,-0.241840176
0.208302975,-8.190087983,-0.087815421,1.49291688,-0.048727372,0.006642572,0.009242325,-0.010622405,-0.374513252
0.216279984,-8.189829208,-0.088167538,1.492860639,-0.045261891,0.010491277,0.03533988,-0.010327906,-0.222455539
0.224777937,-8.189609858,-0.088460082,1.4927381,-0.045590169,0.011407348,0.029056453,-0.010085769,-0.243213595
0.234132051,-8.189396452,-0.08869909,1.492619262,-0.047559779,0.007442758,0.022935598,-0.009894639,-0.256704356
0.241562128,-8.189195071,-0.088929176,1.492522565,-0.045711203,0.00662286,0.000296218,-0.00989217,-0.395666835
1.416278124,-8.225679354,-0.067080398,1.494730452,-0.044193145,0.010626052,0.023820655,-0.009693665,-0.255755335
1.424534082,-8.225923282,-0.067268167,1.49477193,-0.0434415,0.010470714,0.033935378,-0.00941087,-0.183299431
1.432723045,-8.226200785,-0.067433922,1.49471166,-0.03860865,0.008780544,-0.002816277,-0.009434339,-0.41851087
1.441096067,-8.226446809,-0.067613062,1.494758878,-0.037505244,0.012546415,0.020884087,-0.009260305,-0.277114497
1.449500084,-8.226695512,-0.067804371,1.494702966,-0.0358124,0.008286537,1.44E-05,-0.009260185,-0.403769226
1.458063126,-8.226926621,-0.067991926,1.494627501,-0.030830981,0.013363965,0.002784642,-0.00923698,-0.410607224
1.46630311,-8.227180199,-0.068145088,1.494591566,-0.02984295,0.004396749,-0.037914856,-0.009552937,-0.666148463
1.474918127,-8.227429867,-0.06827692,1.494461879,-0.02814217,0.011067146,-0.011346339,-0.00964749,-0.528250802
1.483149052,-8.227700046,-0.06841632,1.494429772,-0.025337104,0.009970946,-0.012658952,-0.009752981,-0.554192818
1.491611004,-8.22798416,-0.068541838,1.49437596,-0.02471534,0.004841812,-0.052494383,-0.010190434,-0.812105941
1.499560118,-8.228260985,-0.068690849,1.494337673,-0.02089625,0.013022335,0.007756263,-0.010125799,-0.47934911
1.508058071,-8.228559435,-0.068793458,1.494295711,-0.019797162,0.002948496,-0.040936206,-0.010466934,-0.782766939
1.516438007,-8.228888855,-0.068860189,1.494253858,-0.020378017,0.010797986,0.003718708,-0.010435944,-0.52281411
1.524804115,-8.229224143,-0.068924367,1.494219932,-0.019654701,0.008380783,-0.009065686,-0.010511492,-0.603658387
1.533036947,-8.229572504,-0.069000547,1.494197754,-0.019997171,0.008976373,0.0038534,-0.01047938,-0.525551164
1.541373968,-8.229912602,-0.069087706,1.494183867,-0.020563251,0.010792423,-0.003182011,-0.010505897,-0.566226107
1.549725056,-8.230263155,-0.06918101,1.494187163,-0.022475907,0.005533035,-0.024621499,-0.010711076,-0.692154357
1.557868004,-8.230648883,-0.069266399,1.494193878,-0.023151375,0.006725323,-0.007394022,-0.010772693,-0.593507362
1.566082954,-8.231048049,-0.069354309,1.494224433,-0.022855498,0.009229886,0.003409087,-0.010744284,-0.531554942
1.574696064,-8.231436186,-0.069474399,1.494260157,-0.025856921,0.006908938,0.004745752,-0.010704736,-0.507095863
1.582875967,-8.231819919,-0.069590853,1.494314756,-0.025959134,0.008710129,0.021556185,-0.010525101,-0.3991094
1.59139204,-8.23220927,-0.069712834,1.494379178,-0.025072164,0.008734914,0.035405524,-0.010230055,-0.304937867
1.599655151,-8.23261472,-0.069848977,1.494438843,-0.02577097,0.015321251,0.067191746,-0.009670124,-0.086595309
1.608922958,-8.23299098,-0.069996218,1.494530161,-0.026653256,0.014958637,0.06196898,-0.009153716,-0.081631192
1.61697197,-8.23336992,-0.070173107,1.494629049,-0.027357286,0.011380522,0.037694062,-0.008839598,-0.198740946
1.624662161,-8.233765618,-0.070309385,1.49469499,-0.028796803,0.014221301,0.052807584,-0.008399535,-0.079393165
1.632975101,-8.23414598,-0.070472043,1.494753946,-0.030993309,0.004957534,0.020063255,-0.008232341,-0.245387052
1.641366959,-8.234513381,-0.070641384,1.494846063,-0.027154542,0.01076444,0.044861914,-0.007858492,-0.098578291
1.649517059,-8.234874556,-0.070819949,1.494936721,-0.028849738,0.017852982,0.079995824,-0.00719186,0.149817078
1.658004045,-8.23519559,-0.07100074,1.495012925,-0.029230517,0.010673204,0.043137723,-0.006832379,-0.037380615
1.666131973,-8.235507152,-0.071188598,1.495120368,-0.030576799,0.010178102,0.047155287,-0.006439419,0.015824541
1.674558163,-8.235804937,-0.071352007,1.495192183,-0.027207884,0.018863923,0.077233308,-0.005795808,0.210361036
1.682713032,-8.236060822,-0.071519524,1.495305918,-0.024601995,0.014765101,0.056071702,-0.005328543,0.106097438
1.691223145,-8.236309152,-0.071679875,1.495344931,-0.02115965,0.015375667,0.046896273,-0.004937741,0.060957364
1.699450016,-8.236542769,-0.071830237,1.495439416,-0.019017049,0.014781012,0.037078961,-0.00462875,0.013445088
1.708570957,-8.236753091,-0.071944229,1.495524562,-0.018350478,0.015004019,0.014001308,-0.004512072,-0.116375852
1.717133045,-8.236958631,-0.072064896,1.495567007,-0.018840789,0.017245659,-0.004068419,-0.004545976,-0.221998723
1.724734068,-8.237131658,-0.072171544,1.495677285,-0.018607913,0.020089176,0.014705125,-0.004423433,-0.108016184
1.732938051,-8.237296368,-0.072271228,1.495703581,-0.021295145,0.017924096,-0.016166033,-0.00455815,-0.282290812
1.741225004,-8.237465237,-0.072362811,1.495795331,-0.024060291,0.021743541,0.001781539,-0.004543304,-0.16672911
1.749554157,-8.237628283,-0.072455822,1.495866889,-0.026852362,0.023007045,0.02851656,-0.004305666,0.014468044
1.757949114,-8.237794133,-0.072541402,1.495943434,-0.0304894,0.024769202,0.08628349,-0.003586637,0.408191384
1.766471148,-8.237964539,-0.072650629,1.496035166,-0.03190715,0.028583148,0.139347733,-0.002425406,0.790608543
1.774590015,-8.238151334,-0.072759168,1.496083278,-0.031048338,0.025973251,0.17064997,-0.001003323,1.055292032
