time,xPos,yPos,zPos,xVel,yVel,zVel,pitch,roll,yaw,pitchVel,rollVel,yawVel,u,w,q,theta,elevAngle
0,-8.505796765,0.139363249,1.297461796,-1020.695612,16.72358994,155.6954155,-0.086896318,0.160378288,1.417962901,-10.42755821,19.24539457,170.1555481,0.02253801,0.113301805,0.167637559,-0.036721265,-1.394224703
0.008324862,-8.506681255,0.141803908,1.296858903,-0.106138828,0.292879,-0.072347137,-0.085268514,0.162578845,1.416394808,0.195336493,0.264066799,-0.188171081,-0.702007948,-1.453352677,-0.151649046,-0.037985007,0.573485499
0.016846895,-8.507511259,0.144294928,1.29619415,-0.099600397,0.298922424,-0.079770383,-0.083545921,0.164928342,1.414800949,0.206711167,0.281939623,-0.191263059,-0.149565078,-0.271903075,-0.032102949,-0.038252532,-1.713872063
0.02511692,-8.508281482,0.146815967,1.295521704,-0.092426747,0.302524621,-0.080693561,-0.082303137,0.167404582,1.413276375,0.149134128,0.297148823,-0.182948966,-0.108025932,-0.178335853,-0.100850551,-0.039092953,-2.388188958
0.034027815,-8.508963748,0.149340657,1.294814734,-0.081871928,0.30296286,-0.084836384,-0.081091443,0.16967612,1.411950541,0.14540324,0.272584547,-0.159099987,-0.060633511,-0.084109494,-0.12126974,-0.040103534,-2.818799114
0.041808844,-8.509604066,0.151873221,1.294105877,-0.076838168,0.303907678,-0.0850628,-0.080233419,0.171770102,1.410606605,0.102962883,0.251277818,-0.161272335,0.417161333,2.185654245,-2.178607132,-0.058258593,-18.95123116
0.050091982,-8.510141508,0.154460838,1.293401397,-0.064493093,0.310513992,-0.0845376,-0.07943621,0.173793669,1.409585258,0.095665128,0.242828055,-0.122561693,0.085187034,0.265203423,0.175104412,-0.05679939,-2.907071726
0.058530807,-8.510624947,0.157027129,1.292679368,-0.058012623,0.30795498,-0.086643523,-0.079056487,0.175925125,1.408587406,0.045566767,0.255774756,-0.119742232,0.274826673,0.641270854,0.390031056,-0.053549131,-2.469380466
0.066784859,-8.511018887,0.159618023,1.291933013,-0.0472728,0.310907214,-0.089562518,-0.078607454,0.177901462,1.407764362,0.053883912,0.237160483,-0.098765315,-0.521462086,-2.402857404,-0.14664833,-0.054771201,-0.798149882
0.075376987,-8.511391043,0.162232962,1.291224642,-0.044658767,0.31379276,-0.085004609,-0.07866022,0.179627152,1.407016566,-0.006331919,0.207082823,-0.089735445,-0.15369616,-0.252329378,0.132945788,-0.053663319,-1.677456528
0.083424807,-8.511650397,0.164835412,1.290543811,-0.031122471,0.312293951,-0.081699618,-0.078580258,0.181333482,1.406553623,0.009595469,0.204759581,-0.055553197,-0.10842677,-0.141670112,0.259454725,-0.051501196,-1.062324915
0.091841936,-8.511854595,0.167458835,1.289859877,-0.024503795,0.314810773,-0.082072169,-0.07876481,0.182897888,1.406298031,-0.022146251,0.187728684,-0.030671055,-0.071236193,-0.06103307,0.169841988,-0.050085846,-1.696523136
0.100803852,-8.512005445,0.170093961,1.289194558,-0.018101985,0.316215105,-0.079838218,-0.079181854,0.184122391,1.40618579,-0.05004523,0.146940368,-0.013468928,-0.041304877,-0.019760074,0.120633208,-0.04908057,-2.071869337
0.108500004,-8.512052581,0.172703054,1.288553501,-0.005656257,0.313091195,-0.076926822,-0.079710153,0.185113949,1.406334583,-0.063395923,0.118986914,0.017855175,-0.029814019,-0.000617047,0.061125686,-0.048571189,-2.44545536
0.116720915,-8.512072791,0.175321315,1.287915536,-0.002425228,0.314191314,-0.076555842,-0.080570569,0.185890289,1.406717654,-0.103249938,0.093160884,0.045968475,-0.027587554,0.011837087,0.022300252,-0.048385354,-2.674655607
0.124951839,-8.512049058,0.177951097,1.287283912,0.002847932,0.315573789,-0.075794917,-0.081908246,0.186497916,1.407436966,-0.160521173,0.072915161,0.086317521,-0.02018795,0.015962271,0.022533654,-0.048197573,-2.696576755
0.133808851,-8.51192721,0.180563135,1.28667943,0.014621777,0.313444552,-0.072537814,-0.083583792,0.186959375,1.40827907,-0.201065561,0.05537505,0.101052489,-0.014889066,0.019854941,0.001252043,-0.048187139,-2.844538693
0.141985893,-8.511774535,0.183145847,1.286110661,0.018320964,0.309925439,-0.068252282,-0.085622204,0.187221516,1.409356876,-0.244609399,0.031456949,0.129336675,-0.01609808,0.022112152,0.006915144,-0.048129513,-2.8038444
