Time,xPos,yPos,zPos,xVel,yVel,zVel,pitch,roll,yaw,pitchVel,rollVel,yawVel,elevAngle,elevTime
0,-8.370170407,0.234831651,1.472988759,-1004.420449,28.17979807,176.7586511,-0.030505982,-0.104537962,-1.522881513,-3.660717837,-12.54455543,-182.7457816,1.04787881,1.267031908
0.008657932,-8.370366285,0.234878393,1.473022677,-0.023505346,0.005609124,0.004070083,-0.028955503,-0.103293062,-1.521959449,0.186057459,0.149387947,0.110647624,0.717207288,1.27557683
0.016938925,-8.370525348,0.234923602,1.473036751,-0.019087556,0.005424988,0.001688934,-0.027894142,-0.102141743,-1.521112833,0.127363315,0.138158307,0.101594,0.635121332,1.283871889
0.025353909,-8.37063858,0.234986004,1.473048271,-0.013587861,0.007488341,0.001382453,-0.027247372,-0.10094098,-1.520250697,0.077612371,0.144091538,0.103456243,0.496382044,1.291688919
0.033864975,-8.370723775,0.235010195,1.473060213,-0.010223411,0.002902828,0.001432996,-0.02697564,-0.099894494,-1.519455529,0.032607855,0.125578373,0.095420158,0.322847536,1.300650835
0.042085886,-8.370794595,0.235065217,1.473063949,-0.008498357,0.006602683,0.000448356,-0.026940094,-0.098848976,-1.518801729,0.004265517,0.125462127,0.078456029,0.165967081,1.308970928
0.05033493,-8.370862422,0.235121597,1.473074158,-0.00813927,0.006765564,0.001225074,-0.027176261,-0.097946988,-1.518166245,-0.028340002,0.108238613,0.076258145,0.081814113,1.317159891
0.05875802,-8.370899511,0.2352072,1.473063806,-0.004450648,0.010272389,-0.001242258,-0.027662278,-0.097229333,-1.517709308,-0.058322013,0.086118519,0.054832405,0.303235185,1.325730801
0.066656828,-8.370936891,0.23532103,1.473083155,-0.004485694,0.013659651,0.00232189,-0.028205841,-0.096417739,-1.517319255,-0.065227612,0.097391335,0.046806364,0.329528672,1.333892822
0.075435877,-8.370966441,0.235460402,1.473100908,-0.003545964,0.016724601,0.002130285,-0.028929301,-0.095766979,-1.517117267,-0.086815181,0.07809115,0.024238527,0.411706911,1.342310905
0.083304882,-8.370209859,0.218809525,1.469399508,0.090789849,-1.998105268,-0.444167998,-0.007397918,0.030027293,1.464344369,2.583765979,15.09531273,357.7753964,0.460036171,1.350751877
